Fit Type,Distance (cm),Mean Arrival Time (ps),Std (ps),Goodness of Fit
Polynomial2,0,7443.31444093181,0.962242628828568,0.247477935651704
Polynomial2,17,8376.36947198749,1.15590543026878,0.243632528561489
Polynomial2,27,8866.37526531576,1.6791280158732,0.228482212016855
Polynomial2,52,10120.5889156026,0.941242008030347,0.24148642562556
Polynomial2,100,12681.0655217604,1.16297474719789,0.242709083445564
Polynomial2,300,22624.5844230968,3.59043828416241,0.24338768927995
Polynomial3,0,7463.78509467542,2.09711360160828,0.233811018782022
Polynomial3,17,8395.80356600957,2.72449632948962,0.231434139282741
Polynomial3,27,8885.75412951485,0.478270808807863,0.215989676549595
Polynomial3,52,10141.5170163585,2.00446580953473,0.227379028552387
Polynomial3,100,12700.9794748969,0.864539284589031,0.230225752268384
Polynomial3,300,22645.4112691771,4.02810942486675,0.230048106748026
Polynomial4,0,7457.78185304501,1.14068489231138,0.217986554148825
Polynomial4,17,8389.17558703349,1.70802358438114,0.213911860514968
Polynomial4,27,8879.79691273694,0.822496441399675,0.196638194330159
Polynomial4,52,10135.2132124304,0.916441801938372,0.209336165522983
Polynomial4,100,12695.0154544451,1.03534445367587,0.213377501968621
Polynomial4,300,22639.2095203568,3.27534727542128,0.216289383188145
Polynomial5,0,7465.01856072242,1.41819826622677,0.216411671676781
Polynomial5,17,8396.70005009305,1.04100145024611,0.212308451400856
Polynomial5,27,8889.05110981828,1.65730162307148,0.19401204578331
Polynomial5,52,10142.395090501,1.21370805624024,0.207731529689496
Polynomial5,100,12703.2478998009,2.25285296709172,0.211404049728579
Polynomial5,300,22646.4738429457,4.56411677630394,0.214825849663308
Polynomial6,0,7465.55485030807,2.09846257261387,0.216339997105976
Polynomial6,17,8397.333191977,1.47996959717099,0.212162667822777
Polynomial6,27,8889.06391673376,2.37106301706777,0.193907769062285
Polynomial6,52,10143.1162799288,1.96531661220963,0.207616894533098
Polynomial6,100,12704.2116201907,2.17484196304546,0.211276227004404
Polynomial6,300,22647.3883367541,5.18510679199943,0.214688396945464
Polynomial7,0,7455.32212484097,2.0779481866611,0.21469029546305
Polynomial7,17,8391.78459584606,3.05173331638255,0.21160285749703
Polynomial7,27,8881.69553795659,2.84636646618909,0.192886349780479
Polynomial7,52,10136.3974518961,3.97056360960946,0.206816288173453
Polynomial7,100,12694.3390892214,2.9936587615495,0.209593055251452
Polynomial7,300,22638.5895856044,7.96948705265016,0.215220565632004
Polynomial8,0,7440.78507512487,7.55301914668383,0.214116373911865
Polynomial8,17,8387.06484727623,6.27528919951797,0.215059948224605
Polynomial8,27,8880.67618752774,16.1491862531698,0.193222111829802
Polynomial8,52,10134.1338295853,10.5233165631257,0.208617938601191
Polynomial8,100,12693.5222481436,11.2683631458221,0.210290048746451
Polynomial8,300,22633.8562296869,12.3283689180045,0.222142071493364
Polynomial9,0,7447.37143162565,0.556028595226322,0.231914742777814
Polynomial9,17,8380.78625696303,1.36404767482728,0.225170261686375
Polynomial9,27,8870.37142316108,1.27044378641145,0.21020382649145
Polynomial9,52,10125.0225096548,0.903431465499699,0.223461857052452
Polynomial9,100,12685.1853463833,1.26449797997999,0.227003536672235
Polynomial9,300,22629.1640960286,3.52295574756247,0.230134527857438
Fourier1,0,7461.66394929934,1.13200915871482,0.217086077043798
Fourier1,17,8392.79474130441,1.91722241337016,0.213092752121719
Fourier1,27,8883.80027447221,0.839875459910227,0.195175205313289
Fourier1,52,10139.2013659536,0.967326764071552,0.208384500850557
Fourier1,100,12698.9631861413,1.02595050142515,0.212353702046704
Fourier1,300,22643.3353482213,3.35153046419549,0.215490141444515
Fourier2,0,7452.16361931116,16.8091774169384,0.215748765353353
Fourier2,17,8374.42842386032,11.9312745058644,0.211121038339683
Fourier2,27,8877.03422093862,14.9828095534333,0.193520387275555
Fourier2,52,10123.9379240002,18.1309138942845,0.206308112921945
Fourier2,100,12684.580219627,17.413787924022,0.211063514952899
Fourier2,300,22614.1992152923,3.61399218094286,0.210568669977065
Fourier3,0,7429.18040883716,14.1028697598171,0.211781176473342
Fourier3,17,8342.27546190392,7.16890234085879,0.205531621707678
Fourier3,27,8850.82807014131,17.6667344548082,0.190221085687316
Fourier3,52,10108.3122864684,16.0934348931496,0.204599014904501
Fourier3,100,12681.4417249026,8.22194319872989,0.20816772167066
Fourier3,300,22602.0974805976,7.13664631114433,0.20640740526877
Fourier4,0,7426.42572136102,6.86238084324435,0.210178368766321
Fourier4,17,8345.43436764984,8.71964997397577,0.202979404027876
Fourier4,27,8860.65697755474,13.6115901636955,0.186536623039253
Fourier4,52,10106.6770034483,2.73913698331006,0.198404721564965
Fourier4,100,12673.8524268334,5.57851775389166,0.205838281989042
Fourier4,300,22609.3878172335,7.03305906645554,0.20524365828967
Fourier5,0,7428.14825149284,6.90602244303071,0.209845564411644
Fourier5,17,8339.19099635421,11.2765573399559,0.201861130044595
Fourier5,27,8859.46833571192,20.0967366010071,0.18589477232747
Fourier5,52,10105.5916173615,5.71578430074671,0.196803432764942
Fourier5,100,12672.5813404722,5.29900342344918,0.204592969446722
Fourier5,300,22611.9812176179,15.7575497865068,0.204910056219114
Fourier6,0,7464.22853412386,25.9776560902502,2.50315459069815
Fourier6,17,8389.10915115944,74.1825671302474,2.44953879050327
Fourier6,27,8858.75154866125,47.5228256697078,2.29098796612696
Fourier6,52,10126.7734551303,46.9703541286139,2.42058750975378
Fourier6,100,12689.223126704,22.2885071333536,2.42427443990759
Fourier6,300,22612.8452841966,35.0673245926567,2.23388923820452
Gauss1,0,7458.80040304163,9.18978408340023,2.65714306439861
Gauss1,17,8364.62152833287,32.4938795388651,2.54885580367361
Gauss1,27,8861.18846454709,41.0139584703753,2.43098966647272
Gauss1,52,10132.7330732049,39.7915176370082,2.50819741842857
Gauss1,100,12691.2642288583,24.2850685682909,2.61221595788859
Gauss1,300,22629.5675138661,41.5860073613526,2.49753761831893
Gauss2,0,7443.60579825894,128.414135181189,2.36218519676002
Gauss2,17,8454.06742732941,98.8657387918591,2.37038153538627
Gauss2,27,8858.16843379088,130.668696927587,2.3065300360535
Gauss2,52,10218.3749180883,54.1944134810179,2.30695777153873
Gauss2,100,12699.0504332529,131.120437312888,2.32477381459974
Gauss2,300,22673.3819727977,102.504450413603,2.2580403798402
Gauss3,0,7474.30637595689,98.8552690849563,2.3590842104202
Gauss3,17,8401.34495825056,107.049206976969,2.33428167735688
Gauss3,27,8914.36677977374,59.5442582603033,2.20247981946365
Gauss3,52,10179.9817865651,98.804601023099,2.34886906828676
Gauss3,100,12752.3836321137,106.265837732572,2.32059496702696
Gauss3,300,22633.9750938712,90.8602729809208,2.28151120159891
